Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
IICOLG2060,Aleochara bilineata,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLG2070,Aleochara curtula,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLG2030,Aleochara fumata,a beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLG2100,Aleochara lanuginosa,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLG2110,Aleochara lata,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLG2340,Aleochara villosa,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
PMALI01020,Alisma lanceolatum,lance-leaved water-plantain,,SNA (2019),Exotic,G4? (1998),,,,,,
PMALI01060,Alisma plantago-aquatica,European water-plantain,,SNA (2019),Exotic,GNR,,,,,,
PDBRA01010,Alliaria petiolata,garlic mustard,,SNA (2019),Exotic,GNR (1994),,,,,,
PMLIL02221,Allium sativum var. sativum,cultivated garlic,,SNA (2021),Exotic,GNRTNR,,,,,,
PMLIL022K0,Allium vineale,field garlic,,SNA (2019),Exotic,GNR,,,,,,
IAOLI06010,Allolobophora chlorotica,,,SNA (2019),Exotic,GNR,,,,,,
IIHOM0E020,Allygus mixtus,,,SNA,Exotic,GNR,,,,,,
IICOLJM030,Aloconota cambrica,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
PMPOA07030,Alopecurus arundinaceus,creeping meadow foxtail,,SNA (2019),Exotic,GNR,,,,,,
PMPOA07060,Alopecurus geniculatus,water meadow-foxtail,,SNA (2019),Exotic,GU (2006),,,,,,
PMPOA07090,Alopecurus pratensis,meadow-foxtail,,SNA (2019),Exotic,GNR,,,,,,
AFCFA01060,Alosa sapidissima,American Shad,,SNA (2019),Exotic,G5 (2017),,,,,,
IICOLSC010,Alphitobius diaperinus,Lesser Mealworm,,SNA (2017),Exotic,GNR,,,,,,
